,target,period,prices_old_alt,prices_alt,fprices_alt
73,Finland,2008,103.680735153095,100.803212851406,103.680735153095
74,Finland,2009,97.5728769974893,100.853413654619,97.5728769974893
75,Finland,2010,101.279729087655,100.903614457831,101.279729087655
76,Finland,2011,105.786828267872,100.953815261044,105.786828267872
77,Finland,2012,106.906719421512,101.004016064257,106.906719421512
78,Finland,2013,105.83332926195,101.05421686747,105.83332926195
79,Finland,2014,104.88428224381,101.104417670683,104.88428224381
80,Finland,2015,103.597529036492,101.154618473896,103.597529036492
81,Finland,2016,100.879657703984,101.204819277109,100.879657703984
82,Finland,2017,104.033373475718,101.255020080321,104.033373475718
83,Finland,2018,108.324435445162,101.305220883534,108.324435445162
84,Finland,2019,108.157566036059,101.355421686747,108.157566036059
85,France,1992,100,100,100
86,France,1993,101.224349614912,100.050200803213,101.224349614912
87,France,1994,101.49780953473,100.100401606426,101.49780953473
88,France,1995,101.442679156641,100.150602409639,101.442679156641
89,France,1996,102.420612319845,100.200803212851,102.420612319845
90,France,1997,101.675793470421,100.251004016064,101.675793470421
91,France,1998,100.19357769943,100.301204819277,100.19357769943
92,France,1999,99.2230523859874,100.35140562249,99.2230523859874
93,France,2000,101.723792018112,100.401606425703,101.723792018112
94,France,2001,101.489387951208,100.451807228916,101.489387951208
95,France,2002,100.041958046857,100.502008032129,100.041958046857
96,France,2003,98.3886106039757,100.552208835341,98.3886106039757
97,France,2004,98.9194602416324,100.602409638554,98.9194602416324
98,France,2005,100.693942384193,100.652610441767,100.693942384193
99,France,2006,102.738056312978,100.70281124498,102.738056312978
100,France,2007,104.681645652888,100.753012048193,104.681645652888
101,France,2008,107.983346361817,100.803212851406,107.983346361817
102,France,2009,104.03160342769,100.853413654619,104.03160342769
103,France,2010,106.373205260586,100.903614457831,106.373205260586
104,France,2011,109.45984431967,100.953815261044,109.45984431967
105,France,2012,110.979191567622,101.004016064257,110.979191567622
106,France,2013,110.739579270315,101.05421686747,110.739579270315
107,France,2014,110.000017204098,101.104417670683,110.000017204098
108,France,2015,110.851149400271,101.154618473896,110.851149400271
109,France,2016,109.436936818796,101.204819277109,109.436936818796
110,France,2017,110.299127082227,101.255020080321,110.299127082227
111,France,2018,111.240223299974,101.305220883534,111.240223299974
112,France,2019,112.478163265803,101.355421686747,112.478163265803
113,Germany,1992,100,100,100
114,Germany,1993,104.424217685856,100.050200803213,104.424217685856
115,Germany,1994,105.725321660056,100.100401606426,105.725321660056
116,Germany,1995,109.897623058044,100.150602409639,109.897623058044
117,Germany,1996,107.347981552014,100.200803212851,107.347981552014
118,Germany,1997,105.279160698786,100.251004016064,105.279160698786
119,Germany,1998,104.320234924959,100.301204819277,104.320234924959
120,Germany,1999,104.125960991596,100.35140562249,104.125960991596
121,Germany,2000,107.196464370942,100.401606425703,107.196464370942
122,Germany,2001,107.877693987693,100.451807228916,107.877693987693
123,Germany,2002,107.199078875217,100.502008032129,107.199078875217
124,Germany,2003,106.555960358291,100.552208835341,106.555960358291
125,Germany,2004,106.385375128465,100.602409638554,106.385375128465
126,Germany,2005,107.480456833981,100.652610441767,107.480456833981
127,Germany,2006,108.606236155776,100.70281124498,108.606236155776
128,Germany,2007,109.297534309586,100.753012048193,109.297534309586
129,Germany,2008,110.431389035158,100.803212851406,110.431389035158
130,Germany,2009,107.685264814263,100.853413654619,107.685264814263
131,Germany,2010,110.20054637057,100.903614457831,110.20054637057
132,Germany,2011,113.084253579857,100.953815261044,113.084253579857
133,Germany,2012,115.109612792193,101.004016064257,115.109612792193
134,Germany,2013,114.467253882299,101.05421686747,114.467253882299
135,Germany,2014,114.241443124708,101.104417670683,114.241443124708
136,Germany,2015,115.196698731714,101.154618473896,115.196698731714
137,Germany,2016,114.349480924597,101.204819277109,114.349480924597
138,Germany,2017,116.301301905167,101.255020080321,116.301301905167
139,Germany,2018,117.556705621029,101.305220883534,117.556705621029
140,Germany,2019,118.188125337215,101.355421686747,118.188125337215
141,Greece,1992,100,100,100
142,Greece,1993,100.39113891433,100.050200803213,100.39113891433
143,Greece,1994,101.658704770496,100.100401606426,101.658704770496
144,Greece,1995,105.026004430415,100.150602409639,105.026004430415
145,Greece,1996,109.720594242918,100.200803212851,109.720594242918
146,Greece,1997,111.283014392181,100.251004016064,111.283014392181
147,Greece,1998,109.252665081899,100.301204819277,109.252665081899
148,Greece,1999,112.485508054484,100.35140562249,112.485508054484
149,Greece,2000,115.854435744415,100.401606425703,115.854435744415
150,Greece,2001,118.347921960391,100.451807228916,118.347921960391
151,Greece,2002,121.050337898794,100.502008032129,121.050337898794
152,Greece,2003,123.060408728997,100.552208835341,123.060408728997
153,Greece,2004,125.510714938357,100.602409638554,125.510714938357
154,Greece,2005,128.564011925627,100.652610441767,128.564011925627
155,Greece,2006,132.746889325978,100.70281124498,132.746889325978
156,Greece,2007,136.324290934866,100.753012048193,136.324290934866
157,Greece,2008,142.130506912967,100.803212851406,142.130506912967
158,Greece,2009,139.124917074591,100.853413654619,139.124917074591
159,Greece,2010,143.755674461815,100.903614457831,143.755674461815
160,Greece,2011,151.520940488982,100.953815261044,151.520940488982
161,Greece,2012,155.264587777283,101.004016064257,155.264587777283
162,Greece,2013,153.080763850338,101.05421686747,153.080763850338
163,Greece,2014,149.844952117144,101.104417670683,149.844952117144
164,Greece,2015,140.420045841135,101.154618473896,140.420045841135
165,Greece,2016,135.859629067474,101.204819277109,135.859629067474
166,Greece,2017,142.131569190614,101.255020080321,142.131569190614
167,Greece,2018,147.149298948568,101.305220883534,147.149298948568
168,Greece,2019,147.362081235372,101.355421686747,147.362081235372
169,Ireland,1992,100,100,100
170,Ireland,1993,101.58311390908,100.050200803213,101.58311390908
171,Ireland,1994,102.580281159833,100.100401606426,102.580281159833
172,Ireland,1995,101.697596503935,100.150602409639,101.697596503935
173,Ireland,1996,104.054657248607,100.200803212851,104.054657248607
174,Ireland,1997,111.624610939163,100.251004016064,111.624610939163
