ect_x,tech,reporter,year,ect_m
-17.1895540168119,PRIM,Netherlands,1996,-8.75648663661723
-17.1882391897822,PRIM,Netherlands,2008,-8.80833738934968
-17.181039203006,PRIM,Netherlands,2005,-8.80194794556153
-17.1754114807473,PRIM,Netherlands,2009,-8.86429647679197
-17.1747506035915,PRIM,Netherlands,1999,-8.7998242218613
-17.1734752295087,PRIM,Netherlands,2007,-8.79917475458262
-17.1717496877224,PRIM,Netherlands,2002,-8.83337665570732
-17.1698098531936,PRIM,Netherlands,2006,-8.79535687686713
-17.1680266541472,PRIM,Netherlands,1998,-8.77605050286581
-17.1586201774282,PRIM,Netherlands,2000,-8.81841261695295
-17.1529419568605,PRIM,Netherlands,2010,-8.86044744093305
-17.135336199612,PRIM,Netherlands,2001,-8.80539196761665
-17.1166127472257,PRIM,Netherlands,2011,-8.8090615310228
-17.1052019203145,PRIM,Netherlands,2012,-8.80615332099483
-17.0611423449167,PRIM,Netherlands,2013,-8.76094081722454
-17.0513769488773,PRIM,Netherlands,2017,-8.71386564366428
-17.0502964745054,PRIM,Netherlands,2018,-8.71919268856106
-17.0495016571998,PRIM,Netherlands,2019,-8.72621652444118
-17.0414246746503,PRIM,Netherlands,2014,-8.73587158248787
-17.0394754031829,PRIM,Netherlands,2015,-8.73593453895493
-17.0208243084747,PRIM,Netherlands,2016,-8.64449029328414
-16.655861207503,RES,Austria,1995,-8.38107026777211
-16.6494764032724,RES,Austria,1994,-8.42424681671732
-16.6392565016852,RES,Austria,1996,-8.38486593955885
-16.6330527387478,RES,Austria,1997,-8.39795390030641
-16.630994768136,RES,Austria,1993,-8.35558218937333
-16.5957611729377,RES,Austria,1998,-8.37590631038385
-16.5921970650085,RES,Austria,2000,-8.44301662250448
-16.5877639269166,RES,Austria,1999,-8.40167040766131
-16.5526120543731,RES,Austria,2001,-8.42314018311424
-16.5461691946602,RES,Austria,2004,-8.42421679341455
-16.5443364563738,RES,Austria,2002,-8.40177170229454
-16.5261379159818,RES,Austria,2003,-8.43692143043592
-16.5152053071734,RES,Austria,2005,-8.4101711637345
-16.510611919659,RES,Austria,2010,-8.52252653846068
-16.4920220251177,RES,Austria,2006,-8.40861139941812
