"","target","period","fincome"
"165","Greece","2016",12.1623927349443
"166","Greece","2017",12.1793994296519
"167","Greece","2018",12.18681431069
"168","Greece","2019",12.1845818201692
"169","Ireland","1992",11.9435478692313
"170","Ireland","1993",11.9457374291516
"171","Ireland","1994",11.9554149915258
"172","Ireland","1995",11.98132966769
"173","Ireland","1996",12.0120436709836
"174","Ireland","1997",12.0229952947959
"175","Ireland","1998",12.0125019796917
"176","Ireland","1999",12.0111555780856
"177","Ireland","2000",12.0390105105013
"178","Ireland","2001",12.0434030578213
"179","Ireland","2002",12.0445030117792
"180","Ireland","2003",12.0599800576207
"181","Ireland","2004",12.0820791428469
"182","Ireland","2005",12.1004222958375
"183","Ireland","2006",12.1148195774566
"184","Ireland","2007",12.1299941757334
"185","Ireland","2008",12.1184405934161
"186","Ireland","2009",12.061121501331
"187","Ireland","2010",12.1004506036403
"188","Ireland","2011",12.1015246197131
"189","Ireland","2012",12.1150035807034
"190","Ireland","2013",12.1343798237054
"191","Ireland","2014",12.1382591217321
"192","Ireland","2015",12.1541547422555
"193","Ireland","2016",12.1622312484136
"194","Ireland","2017",12.1792025906988
"195","Ireland","2018",12.1865815805134
"196","Ireland","2019",12.1843249494135
"197","Italy","1992",11.940584774011
"198","Italy","1993",11.9428114544442
"199","Italy","1994",11.9524633123969
"200","Italy","1995",11.978388834066
"201","Italy","1996",12.0091671603516
"202","Italy","1997",12.0201162547237
"203","Italy","1998",12.009555259053
"204","Italy","1999",12.0081784359502
"205","Italy","2000",12.0360201075714
"206","Italy","2001",12.0403771210909
"207","Italy","2002",12.0414895852186
"208","Italy","2003",12.0570178158868
"209","Italy","2004",12.0791572692004
"210","Italy","2005",12.0975463054156
"211","Italy","2006",12.1119448852256
"212","Italy","2007",12.1271342324822
"213","Italy","2008",12.1155619330015
"214","Italy","2009",12.0582347014482
"215","Italy","2010",12.0976275682404
"216","Italy","2011",12.0986850916326
"217","Italy","2012",12.1122962280775
"218","Italy","2013",12.131783692385
"219","Italy","2014",12.1357032896231
"220","Italy","2015",12.1517074534821
"221","Italy","2016",12.1597755056915
"222","Italy","2017",12.1767816849325
"223","Italy","2018",12.18419408748
"224","Italy","2019",12.1819473416148
"225","Netherlands","1992",11.9427684970267
"226","Netherlands","1993",11.9449523766126
"227","Netherlands","1994",11.9546192206611
"228","Netherlands","1995",11.9805418058677
"229","Netherlands","1996",12.0112601440892
"230","Netherlands","1997",12.0221999976161
"231","Netherlands","1998",12.0116699066552
"232","Netherlands","1999",12.0102937234224
"233","Netherlands","2000",12.0381507085891
"234","Netherlands","2001",12.0425355394351
"235","Netherlands","2002",12.0436515016434
"236","Netherlands","2003",12.0591492095068
"237","Netherlands","2004",12.0812653676709
"238","Netherlands","2005",12.0996190371085
"239","Netherlands","2006",12.1140056164228
"240","Netherlands","2007",12.1291676594029
"241","Netherlands","2008",12.1175612234899
"242","Netherlands","2009",12.0602189439429
"243","Netherlands","2010",12.0995723965489
"244","Netherlands","2011",12.1006312060425
"245","Netherlands","2012",12.1141348236958
"246","Netherlands","2013",12.1335331857201
"247","Netherlands","2014",12.1374288572137
"248","Netherlands","2015",12.1534048139166
"249","Netherlands","2016",12.1614701963794
"250","Netherlands","2017",12.1784605723464
"251","Netherlands","2018",12.1858582905258
"252","Netherlands","2019",12.1836046964274
"253","Portugal","1992",11.9434153472991
"254","Portugal","1993",11.9456117498399
"255","Portugal","1994",11.9552959148783
"256","Portugal","1995",11.9812240831771
"257","Portugal","1996",12.0119449137131
"258","Portugal","1997",12.0229064183026
"259","Portugal","1998",12.0124166364348
"260","Portugal","1999",12.0110827991313
"261","Portugal","2000",12.0389515544706
"262","Portugal","2001",12.0433527393674
"263","Portugal","2002",12.0444676361233
"264","Portugal","2003",12.0599577999224
"265","Portugal","2004",12.0820726281167
"266","Portugal","2005",12.100432115672
"267","Portugal","2006",12.114840913722
"268","Portugal","2007",12.1300256312642
"269","Portugal","2008",12.1184544209913
"270","Portugal","2009",12.0611281667073
"271","Portugal","2010",12.1004569330531
"272","Portugal","2011",12.1015397702465
"273","Portugal","2012",12.1150321572894
"274","Portugal","2013",12.1344146512922
"275","Portugal","2014",12.1383213613475
"276","Portugal","2015",12.1543008977547
"277","Portugal","2016",12.162379097321
"278","Portugal","2017",12.1793782989272
"279","Portugal","2018",12.1867891783371
"280","Portugal","2019",12.1845535033849
"281","Spain","1992",11.9422238832408
"282","Spain","1993",11.9444361994719
"283","Spain","1994",11.9541013065307
"284","Spain","1995",11.980026642425
"285","Spain","1996",12.0107552474204
"286","Spain","1997",12.0216882024486
"287","Spain","1998",12.0111327452405
"288","Spain","1999",12.0097375095991
"289","Spain","2000",12.0375698483532
"290","Spain","2001",12.0419161524273
"291","Spain","2002",12.0429866003507
"292","Spain","2003",12.0584424946616
"293","Spain","2004",12.0805396998742
"294","Spain","2005",12.0988624721616
"295","Spain","2006",12.1132219693323
"296","Spain","2007",12.1283699192136
"297","Spain","2008",12.1167625904214
"298","Spain","2009",12.0594062625175
"299","Spain","2010",12.0988041738442
"300","Spain","2011",12.0998991939739
"301","Spain","2012",12.11345781484
"302","Spain","2013",12.1328937624088
"303","Spain","2014",12.1367833569017
"304","Spain","2015",12.1527227957763
"305","Spain","2016",12.1607629191045
"306","Spain","2017",12.1777437309333
"307","Spain","2018",12.1851314172739
"308","Spain","2019",12.1828613642683
