ect_x,tech,reporter,year,ect_m
-29.7550346493095,LOW,Netherlands,2005,-44.480892503622
-29.7396793222135,LOW,Netherlands,2018,-44.6008271726798
-29.7395125053527,LOW,Netherlands,2012,-44.7424703599168
-29.7291371854082,LOW,Netherlands,1995,-44.6055525229322
-29.725667868401,LOW,Netherlands,2017,-44.5612878671255
-29.7157014388773,LOW,Netherlands,2013,-44.6985676037561
-29.7148734196684,LOW,Netherlands,1994,-44.4874618444045
-29.7048609835032,LOW,Netherlands,1993,-44.4426824614584
-29.7035249864277,LOW,Netherlands,2016,-44.5024569819119
-29.6987590271818,LOW,Netherlands,2014,-44.6137190338614
-29.6905064798564,LOW,Netherlands,2001,-44.3517675924354
-29.6660607267057,LOW,Netherlands,1996,-44.3571327819449
-29.631319005037,LOW,Netherlands,2015,-44.2977727278865
-29.6291170391056,LOW,Netherlands,1998,-44.1975518845102
-29.6255524249976,LOW,Netherlands,2000,-44.2425799582435
-29.6251070021563,LOW,Netherlands,1999,-44.2196122695145
-29.5917748541463,LOW,Netherlands,1997,-44.0979200799898
-26.6081748785231,PRIM,Portugal,2008,-1.8514821845037
-26.5973760706183,PRIM,Portugal,2007,-1.86871410412879
-26.5699455220643,PRIM,Portugal,2019,-1.8689269989539
-26.5581548876378,PRIM,Portugal,2018,-1.84362193931774
-26.5539608506555,PRIM,Portugal,2005,-1.81541800958006
-26.553458946314,PRIM,Portugal,2016,-1.85194152781484
-26.5519679500633,PRIM,Portugal,2006,-1.81787564251532
-26.5493307308179,PRIM,Portugal,2010,-1.84896404746047
-26.5485004618549,PRIM,Portugal,2017,-1.8377046273218
-26.5473111582477,PRIM,Portugal,2012,-1.95992437941926
-26.538308026258,PRIM,Portugal,2015,-1.87023238229344
-26.5124154466889,PRIM,Portugal,2014,-1.85944468866304
-26.5095492162212,PRIM,Portugal,2011,-1.78698324215751
-26.5031729565505,PRIM,Portugal,2004,-1.85209405237463
-26.5001187278405,PRIM,Portugal,2009,-1.71864137499131
-26.4781876222654,PRIM,Portugal,2013,-1.86469192667088
-26.4730782251686,PRIM,Portugal,2001,-1.91731896749714
-26.4710627963757,PRIM,Portugal,2002,-1.92073589133297
-26.4482531803626,PRIM,Portugal,2003,-1.84529070113267
-26.4369849589228,PRIM,Portugal,2000,-1.91626835351006
-26.3911087719792,PRIM,Portugal,1999,-1.88110101856123
-26.3823651258766,PRIM,Portugal,1994,-2.03229413122528
-26.3770326111,PRIM,Portugal,1993,-2.06306008768372
-26.3249265356756,PRIM,Portugal,1998,-1.86001494175076
-26.3097151741177,PRIM,Portugal,1997,-1.8881532637195
-26.2994623750701,PRIM,Portugal,1995,-1.89129214657615
-26.2841116200443,PRIM,Portugal,1996,-1.87623383065712
-24.9203976641237,PRIM,Netherlands,2009,-11.2710723141055
-24.846617053053,PRIM,Netherlands,2011,-11.2143488414123
-24.7492948903746,PRIM,Netherlands,1993,-11.1603445773498
-24.7472208633567,PRIM,Netherlands,1995,-11.1275717311942
-24.7427444667122,PRIM,Netherlands,1994,-11.1447716945509
-24.7080019863613,PRIM,Netherlands,2003,-11.194048404838
-24.6588319089103,PRIM,Netherlands,1996,-11.1366674381513
-24.657856331211,PRIM,Netherlands,2002,-11.2012061856571
-24.6484812051246,PRIM,Netherlands,2004,-11.1709195383544
-24.6353405325658,PRIM,Netherlands,2008,-11.23805532554
-24.6180157250113,PRIM,Netherlands,2010,-11.1898389251537
-24.6130830401445,PRIM,Germany,2009,-9.9119869420045
-24.6004730872881,PRIM,Netherlands,2005,-11.1579338347235
-24.596394182611,PRIM,Netherlands,2007,-11.1708062651482
-24.5772136937113,PRIM,Netherlands,2006,-11.1584238679456
-24.5747211320393,PRIM,Netherlands,2001,-11.1847858853692
-24.5712268571334,PRIM,Netherlands,1998,-11.1425579397461
-24.5656390309677,PRIM,Netherlands,2012,-11.1432659143486
-24.5513959803222,PRIM,Netherlands,1997,-11.1135223345639
-24.5466334257362,PRIM,Netherlands,1999,-11.1617403418445
-24.5394926693817,PRIM,Netherlands,2013,-11.1169655042984
-24.5209759989197,PRIM,Netherlands,2000,-11.1513622676797
-24.5164043417143,PRIM,Netherlands,2019,-11.1185772116605
-24.5058188981986,PRIM,Netherlands,2014,-11.111627911212
-24.4869995639784,PRIM,Germany,2011,-9.99572137108723
-24.4863048972294,PRIM,Netherlands,2018,-11.1024033139016
-24.4830428142005,PRIM,Netherlands,2017,-11.0930955417012
-24.4795346744803,PRIM,Germany,2003,-9.84828325746424
-24.4766658146169,PRIM,Netherlands,2016,-11.0840831775201
-24.4615498940994,PRIM,Germany,2005,-9.84096612005018
-24.4565027404731,PRIM,Germany,2004,-9.84290466720227
-24.4524809332427,PRIM,Germany,2019,-9.79104329467632
-24.4439401322844,PRIM,Germany,2002,-9.92985556604911
-24.4407216251054,PRIM,Germany,2007,-9.97646665076896
-24.4386222192187,PRIM,Germany,2001,-9.88735000219852
-24.4362097650845,PRIM,Germany,2006,-9.90905736548984
-24.4236004948803,PRIM,Germany,2008,-9.96394405758695
-24.4211860938403,PRIM,Germany,2000,-9.81419761401939
-24.4144390656066,PRIM,Germany,1999,-9.7962912098765
-24.4118830608206,PRIM,Netherlands,2015,-11.0057699448776
-24.4072502660063,PRIM,Germany,2018,-9.80916938749992
-24.3630645727456,PRIM,Germany,2010,-9.85073773287601
-24.362859519793,PRIM,Germany,2017,-9.84937029363716
-24.356990644399,PRIM,Germany,1998,-9.80654214660332
-24.3307075256297,PRIM,Germany,1996,-9.76226418458626
-24.3254679843795,PRIM,Germany,2016,-9.84899344172787
-24.3238521784927,PRIM,Germany,1995,-9.69472702438778
-24.3209598149781,PRIM,Germany,1997,-9.83258836370324
-24.2970679079532,PRIM,Germany,1994,-9.80165158796481
-24.2861108807056,PRIM,Germany,2015,-9.86543663083728
-24.277531057264,PRIM,Germany,1993,-9.83747035581172
-24.2607943877871,PRIM,Germany,2014,-9.88906693588038
-24.2596140503791,PRIM,Germany,2012,-9.91214452376766
-24.2543212765904,PRIM,Germany,2013,-9.87156306127625
-23.0034836355446,RES,Spain,2019,-11.6242420025307
-22.9821385434051,RES,Spain,2018,-11.5803291190192
-22.9548752844907,RES,Spain,2008,-11.8033606945783
-22.9533692011026,RES,Spain,2007,-11.6558205131686
-22.9463896143852,RES,Spain,2006,-11.6523818832857
-22.9456082764842,RES,Spain,2017,-11.5896739510752
-22.9445264922797,RES,Spain,2009,-11.8944083862658
-22.9332431806178,RES,Spain,1993,-12.1121191033262
-22.9234085826673,RES,Spain,2011,-11.7729199510904
-22.9216440349645,RES,Spain,2010,-11.8477571103902
-22.9215688444881,RES,Spain,2016,-11.6042755776068
-22.9146574695519,RES,Spain,2015,-11.5943612808424
-22.9073834997241,RES,Spain,2005,-11.6351695168869
-22.9028762824942,RES,Spain,2012,-11.7313781070549
-22.8886484801523,RES,Spain,2014,-11.6214098199157
-22.8807186580119,RES,Spain,1994,-11.9483279520262
-22.8773648800103,RES,Spain,2004,-11.625970320077
-22.8744781817636,RES,Spain,2013,-11.6868920923966
-22.8657630619191,RES,Spain,1995,-11.8722840228633
-22.862035353766,RES,Spain,2002,-11.6403731227592
-22.8538928256313,RES,Spain,2003,-11.6427990215766
-22.8493440497339,RES,Spain,2001,-11.624095586935
-22.8271599151662,RES,Spain,2000,-11.6019836763232
-22.8223808373379,RES,Spain,1996,-11.8464006693397
-22.8084288708952,RES,Spain,1999,-11.6202276461208
-22.7955749893375,RES,Spain,1998,-11.6891183920443
-22.7858055022267,RES,Spain,1997,-11.7391778824788
-21.9512818150716,HIGH,Germany,2007,4.066266342989
-21.9352798589328,HIGH,Germany,2005,4.13489463151152
-21.9329775431306,HIGH,Germany,2009,4.21316549439031
-21.9323236953669,HIGH,Germany,2006,4.10277739635782
-21.9282997948122,HIGH,Germany,2003,4.12151487168987
-21.9275761389804,HIGH,Germany,2008,4.09889259164896
-21.9179118444776,HIGH,Germany,2004,4.13305431959705
-21.8948168510234,HIGH,Germany,2002,4.04858396491015
-21.8838951091225,HIGH,Germany,2019,4.53724782947723
-21.881618858035,HIGH,Germany,2001,4.10107069225004
-21.8527135204241,HIGH,Germany,2000,4.15956010612108
-21.8521421344666,HIGH,Germany,2010,4.19899276697495
-21.8463730947425,HIGH,Germany,2018,4.49662188247917
-21.8335133274641,HIGH,Germany,1999,4.14575170163375
-21.82078718779,HIGH,Germany,2011,4.23562528860403
-21.8129076364892,HIGH,Germany,2017,4.43218298525567
-21.7855054753454,HIGH,Germany,2016,4.38426123833709
-21.7692381658066,HIGH,Germany,1998,4.11371821160315
-21.7599981679245,HIGH,Germany,2015,4.32263807794586
-21.7508195616608,HIGH,Germany,2012,4.1993901837436
-21.7388508628625,HIGH,Germany,2014,4.27324648966625
-21.7357100152202,HIGH,Germany,2013,4.25520280358677
-21.731658521497,HIGH,Germany,1997,4.05934924670184
-21.7034086614456,HIGH,Germany,1996,4.13696121625542
-21.6704581854725,HIGH,Germany,1994,4.06219934969534
-21.6663892894391,HIGH,Germany,1995,4.21933991628978
-21.6607666855509,HIGH,Germany,1993,3.98241224544657
-21.6075796476435,RES,Portugal,2011,-0.704131798533783
-21.5689196225304,RES,Portugal,2015,-0.64528686026182
-21.5667802907649,RES,Portugal,2016,-0.625280417058885
-21.5441295454736,RES,Portugal,2009,-0.601526860722721
-21.5375932247331,RES,Portugal,2017,-0.612784746154897
-21.536751897322,RES,Portugal,2012,-0.699895782037899
-21.5362916998229,RES,Portugal,2019,-0.658470569998062
-21.5285534410757,RES,Portugal,2018,-0.621202775866355
