ect_x,tech,reporter,year,ect_m
-19.3110807050879,MED,Greece,1998,12.2882099460974
-19.3051988934283,MED,Greece,2008,12.4225874710822
-19.2735879250599,MED,Greece,1997,12.3565594217226
-19.266719391059,MED,Greece,2009,12.4330933603743
-17.3847108228748,LOW,Netherlands,2003,-44.264916033182
-17.3413430094545,LOW,Netherlands,2004,-44.4735897818774
-17.3017168539999,LOW,Netherlands,2005,-44.3302660598771
-17.2995053136253,LOW,Netherlands,2006,-44.1890633613903
-17.2971452525792,LOW,Netherlands,2010,-44.700417013727
-17.2831101937521,LOW,Netherlands,2008,-44.1336476955004
-17.2514355796263,LOW,Netherlands,2007,-44.0531281143164
-17.2148275107958,LOW,Netherlands,2009,-44.2931974363256
-17.2083272389587,LOW,Netherlands,2002,-43.8743212838538
-17.1665566125088,LOW,Netherlands,2011,-44.4505298267107
-17.1630478919154,LOW,Netherlands,2001,-43.6970094972789
-17.1213135602126,LOW,Netherlands,2000,-43.6329193070059
-17.0785688134209,LOW,Netherlands,1999,-43.6158127838061
-17.0676748940792,LOW,Netherlands,2012,-44.3888950160767
-17.0535931470345,LOW,Netherlands,1997,-43.7016050617488
-17.0494057414545,LOW,Netherlands,1996,-44.0522841624789
-17.0433239062667,LOW,Netherlands,2013,-44.3270283294874
-17.0296581017071,LOW,Netherlands,2019,-44.0985144252201
-17.0261221673526,LOW,Netherlands,2018,-44.0593862200212
-17.0119455157902,LOW,Netherlands,1995,-43.8025375066594
-17.0070137360947,LOW,Netherlands,2017,-44.0022116351497
-17.0022226745605,LOW,Netherlands,2014,-44.2833992919394
-16.9744499715213,LOW,Netherlands,1994,-43.720229860677
-16.9681580055949,LOW,Netherlands,2015,-44.1316616431096
-16.9606774344334,LOW,Netherlands,2016,-43.7737133585997
-16.848122014591,LOW,Netherlands,1993,-43.0131171194649
-16.6553636285469,LOW,Netherlands,1998,-43.271034548713
-15.3609070982435,PRIM,Netherlands,2010,-3.46501797853742
-15.3036641976893,PRIM,Netherlands,2004,-3.31362991653044
-15.2615737819681,PRIM,Netherlands,1994,-3.2944408321417
-15.2513900929978,PRIM,Netherlands,2005,-3.23442709764791
-15.2501844342135,PRIM,Netherlands,1996,-3.27365086434113
-15.2382312064036,PRIM,Netherlands,1995,-3.25116904894531
-15.2246401916962,PRIM,Netherlands,2009,-3.21740237517377
-15.2208683269753,PRIM,Netherlands,2003,-3.28509134016693
-15.1947470640278,PRIM,Netherlands,2011,-3.24497864382917
-15.1644974757022,PRIM,Netherlands,2006,-3.11246193800204
-15.1572156711491,PRIM,Portugal,1999,11.3237682846607
