"","target","period","fincome"
"88","France","1995",8.72057687612002
"89","France","1996",8.736827873844
"90","France","1997",8.76305839962896
"91","France","1998",8.79073369152028
"92","France","1999",8.81846554621109
"93","France","2000",8.85564019119427
"94","France","2001",8.87730480324117
"95","France","2002",8.88512215069557
"96","France","2003",8.89027104899164
"97","France","2004",8.91082442124231
"98","France","2005",8.9264091230494
"99","France","2006",8.95923834970695
"100","France","2007",8.98884271543375
"101","France","2008",8.99287740554506
"102","France","2009",8.94363357233633
"103","France","2010",8.96502597885817
"104","France","2011",8.9797583486982
"105","France","2012",8.96715851309538
"106","France","2013",8.96240425932689
"107","France","2014",8.97705241472745
"108","France","2015",8.99902509005453
"109","France","2016",9.01927368777953
"110","France","2017",9.04548082301165
"111","France","2018",9.06219957987433
"112","France","2019",9.076603929759
"113","Germany","1992",8.54929942580718
"114","Germany","1993",8.54388127514376
"115","Germany","1994",8.56800854160665
"116","Germany","1995",8.59335520971492
"117","Germany","1996",8.61248064368957
"118","Germany","1997",8.64138427383716
"119","Germany","1998",8.67452423708579
"120","Germany","1999",8.70772544797037
"121","Germany","2000",8.74873831051258
"122","Germany","2001",8.77182905318047
"123","Germany","2002",8.78457775613871
"124","Germany","2003",8.7954036998877
"125","Germany","2004",8.82152867287173
"126","Germany","2005",8.84054747699706
"127","Germany","2006",8.86911236458302
"128","Germany","2007",8.89719360895852
"129","Germany","2008",8.89867334648394
"130","Germany","2009",8.85884314336196
"131","Germany","2010",8.87209764896851
"132","Germany","2011",8.87945945475446
"133","Germany","2012",8.86475542040364
"134","Germany","2013",8.85943475342806
"135","Germany","2014",8.86950995225637
"136","Germany","2015",8.891159376465
"137","Germany","2016",8.90783240373058
"138","Germany","2017",8.93287117016841
"139","Germany","2018",8.95301794605308
"140","Germany","2019",8.97018874995262
"141","Greece","1992",8.89239982790465
"142","Greece","1993",8.88583377667937
"143","Greece","1994",8.90989643895634
"144","Greece","1995",8.93224184364759
"145","Greece","1996",8.94778362498512
"146","Greece","1997",8.97299330156314
"147","Greece","1998",9.00204727971853
"148","Greece","1999",9.03097825970314
"149","Greece","2000",9.06840501043578
"150","Greece","2001",9.08924241428183
"151","Greece","2002",9.09713413677186
"152","Greece","2003",9.1017780025176
"153","Greece","2004",9.1232310738288
"154","Greece","2005",9.13923963049136
"155","Greece","2006",9.16968735276213
"156","Greece","2007",9.19802315555801
"157","Greece","2008",9.20191969740209
"158","Greece","2009",9.15685644833254
"159","Greece","2010",9.17960144496124
"160","Greece","2011",9.19838429205254
"161","Greece","2012",9.19035927275484
"162","Greece","2013",9.1882850618943
"163","Greece","2014",9.20198300628005
"164","Greece","2015",9.22199727550845
"165","Greece","2016",9.24065426770365
"166","Greece","2017",9.2663561304563
"167","Greece","2018",9.28345637300348
"168","Greece","2019",9.29862082834381
"169","Ireland","1992",8.9020997601987
"170","Ireland","1993",8.89498777735936
"171","Ireland","1994",8.91861306190557
"172","Ireland","1995",8.94009851761304
"173","Ireland","1996",8.95520340853644
"174","Ireland","1997",8.9797385517913
"175","Ireland","1998",9.00820005047584
"176","Ireland","1999",9.03607988527793
"177","Ireland","2000",9.07268168520745
"178","Ireland","2001",9.09341323118727
"179","Ireland","2002",9.10109908028306
"180","Ireland","2003",9.10644964232019
"181","Ireland","2004",9.12772350315755
"182","Ireland","2005",9.14271359909434
"183","Ireland","2006",9.17337662276259
"184","Ireland","2007",9.20132277539113
"185","Ireland","2008",9.20605867859573
"186","Ireland","2009",9.16116518019313
"187","Ireland","2010",9.18220159392288
"188","Ireland","2011",9.1985585177075
"189","Ireland","2012",9.18913138301687
"190","Ireland","2013",9.18636802768031
"191","Ireland","2014",9.19847468229385
"192","Ireland","2015",9.21340009624209
"193","Ireland","2016",9.23161613915898
"194","Ireland","2017",9.25542463013168
"195","Ireland","2018",9.27064443418358
"196","Ireland","2019",9.28471640819752
"197","Italy","1992",8.6965179288962
"198","Italy","1993",8.69015457817786
"199","Italy","1994",8.71496133308721
"200","Italy","1995",8.73627651113464
"201","Italy","1996",8.75283922002616
"202","Italy","1997",8.78020217108713
"203","Italy","1998",8.81210923548834
"204","Italy","1999",8.84405179335291
"205","Italy","2000",8.88156349001574
"206","Italy","2001",8.90324942669676
"207","Italy","2002",8.91316659548588
"208","Italy","2003",8.91995411317271
"209","Italy","2004",8.94384741618023
"210","Italy","2005",8.96133245308479
"211","Italy","2006",8.99528688268356
"212","Italy","2007",9.02668684850834
"213","Italy","2008",9.03327724537275
"214","Italy","2009",8.99018522592761
"215","Italy","2010",9.01196784481222
"216","Italy","2011",9.03007166664008
"217","Italy","2012",9.02511079097552
"218","Italy","2013",9.02582769643384
"219","Italy","2014",9.04203047183401
"220","Italy","2015",9.06395703144785
"221","Italy","2016",9.08324808942839
"222","Italy","2017",9.11039152014878
"223","Italy","2018",9.1289594776635
"224","Italy","2019",9.14611124297193
"225","Netherlands","1992",8.85193145414468
"226","Netherlands","1993",8.84395999662254
"227","Netherlands","1994",8.86760582193737
"228","Netherlands","1995",8.88938114597508
"229","Netherlands","1996",8.90395809553628
"230","Netherlands","1997",8.92842372745806
"231","Netherlands","1998",8.95655605030397
"232","Netherlands","1999",8.9841208572333
"233","Netherlands","2000",9.02131280809466
"234","Netherlands","2001",9.04243332910211
"235","Netherlands","2002",9.05142003037537
"236","Netherlands","2003",9.05749990178263
"237","Netherlands","2004",9.07976317142608
"238","Netherlands","2005",9.09522492015218
"239","Netherlands","2006",9.12603533681034
"240","Netherlands","2007",9.15385870438594
"241","Netherlands","2008",9.15632059569149
"242","Netherlands","2009",9.11072911980695
"243","Netherlands","2010",9.13223120880011
"244","Netherlands","2011",9.1484918721515
"245","Netherlands","2012",9.13932423363599
"246","Netherlands","2013",9.13674639232107
"247","Netherlands","2014",9.15024430982248
"248","Netherlands","2015",9.16989455669165
"249","Netherlands","2016",9.18790650400045
"250","Netherlands","2017",9.21312781344903
"251","Netherlands","2018",9.22976559473089
"252","Netherlands","2019",9.24468530434412
"253","Portugal","1992",8.89374223068548
"254","Portugal","1993",8.88698911754485
"255","Portugal","1994",8.91114152871118
"256","Portugal","1995",8.93344682684752
"257","Portugal","1996",8.9488849803586
"258","Portugal","1997",8.97413097048968
"259","Portugal","1998",9.00302222329483
"260","Portugal","1999",9.03179340644107
"261","Portugal","2000",9.0692410086522
"262","Portugal","2001",9.09052502006342
"263","Portugal","2002",9.09908275811935
"264","Portugal","2003",9.10516856073478
"265","Portugal","2004",9.12734839364301
"266","Portugal","2005",9.14328064861091
"267","Portugal","2006",9.17458843007361
"268","Portugal","2007",9.20308616371591
"269","Portugal","2008",9.20682169869981
"270","Portugal","2009",9.1615285120714
"271","Portugal","2010",9.18255298375399
"272","Portugal","2011",9.19938667872327
"273","Portugal","2012",9.19072903058369
"274","Portugal","2013",9.18835835814147
"275","Portugal","2014",9.20199975553731
"276","Portugal","2015",9.2216666666479
"277","Portugal","2016",9.23989408682615
"278","Portugal","2017",9.26518823688596
"279","Portugal","2018",9.2820805581358
"280","Portugal","2019",9.29709731326646
"281","Spain","1992",8.81534283716587
"282","Spain","1993",8.80895493069896
"283","Spain","1994",8.83297703428025
"284","Spain","1995",8.85479379119623
"285","Spain","1996",8.86951065531351
"286","Spain","1997",8.89397483406381
"287","Spain","1998",8.92176550109847
"288","Spain","1999",8.94912066225594
"289","Spain","2000",8.98507958089084
"290","Spain","2001",9.0044049085793
"291","Spain","2002",9.0108673257125
"292","Spain","2003",9.01392467780953
"293","Spain","2004",9.03499995025396
"294","Spain","2005",9.04837281985372
"295","Spain","2006",9.07827578877483
"296","Spain","2007",9.10584625866121
"297","Spain","2008",9.10894077927345
"298","Spain","2009",9.06307289843816
"299","Spain","2010",9.08641141376943
"300","Spain","2011",9.1055511375506
"301","Spain","2012",9.09874591003417
"302","Spain","2013",9.09759633173094
"303","Spain","2014",9.11110008942533
"304","Spain","2015",9.12864516634635
"305","Spain","2016",9.1455296004485
"306","Spain","2017",9.17052537026843
"307","Spain","2018",9.18696017279445
"308","Spain","2019",9.20165143223464
