reporter,year,tech,tech_exports,xsum,xqt,xprices,tech_imports,msum,mqt,mprices,income,consump,imports,fprices,xrate,prices,rprices,old_rprices,exports,inst_income,fincome_alt,fincome,fincome_alt3,fincome_alt2,investment,sum_tech_exports,sum_tech_imports,share_tech_exports,share_tech_imports
Portugal,2014,MED,22.0738846987894,18511113362,3859813483,6.1729225981383,22.1997930534554,22416954396,4377716391,6.2384605347199,5.17360015748407,4.99228936529945,4.19453825279855,104.5431991,1.328500784,101.3183057,4.61958305577758,4.57876952731717,4.2295992607683,5.18131551017763,12.1324403153434,9.48833118803711,12.1383213613475,9.20199975553731,3.29227646120463,75966032034,90446993226,0.243676191402429,0.247846319666887
Portugal,2014,PRIM,22.0332821881213,14688928858,3706234313,5.98224790593479,23.8939313753336,31029757268,23823334425,4.86945130353623,5.17360015748407,4.99228936529945,4.19453825279855,104.5431991,1.328500784,101.3183057,4.61958305577758,4.57876952731717,4.2295992607683,5.18131551017763,12.1324403153434,9.48833118803711,12.1383213613475,9.20199975553731,3.29227646120463,75966032034,90446993226,0.193361802172657,0.343071186351833
Portugal,2014,RES,23.8298840857564,21048302981,22345350069,4.54537187557681,23.3572755885896,14381845107,13929511955,4.63712708904652,5.17360015748407,4.99228936529945,4.19453825279855,104.5431991,1.328500784,101.3183057,4.61958305577758,4.57876952731717,4.2295992607683,5.18131551017763,12.1324403153434,9.48833118803711,12.1383213613475,9.20199975553731,3.29227646120463,75966032034,90446993226,0.277075192917533,0.159008548477273
Portugal,2015,HIGH,19.2064626785547,3937420700,219412193,7.49249920864617,19.1189045505925,7952862323.724,201017906.796,8.28306337692912,5.19136224685137,5.0099043603626,4.27196062106033,100,1.109512891,100,4.60517018598809,4.60517018598809,4.2903320357724,5.19743501538459,12.1483591837973,9.50963180427177,12.1543008977547,9.2216666666479,3.34969704829966,65635039612.42,77322798948.01,0.0599896141337123,0.102852747597398
Portugal,2015,LOW,22.2864010764678,14754778246.575,4773764703,5.73360192571271,21.9045288264564,12014250463.843,3258487040.058,5.91000068035337,5.19136224685137,5.0099043603626,4.27196062106033,100,1.109512891,100,4.60517018598809,4.60517018598809,4.2903320357724,5.19743501538459,12.1483591837973,9.50963180427177,12.1543008977547,9.2216666666479,3.34969704829966,65635039612.42,77322798948.01,0.224800325157159,0.155377852681214
Portugal,2015,MED,22.0373453153106,16365216266.3,3721323849,6.0862488306623,22.1331897829236,20877012522.21,4095643902.031,6.23389491435045,5.19136224685137,5.0099043603626,4.27196062106033,100,1.109512891,100,4.60517018598809,4.60517018598809,4.2903320357724,5.19743501538459,12.1483591837973,9.50963180427177,12.1543008977547,9.2216666666479,3.34969704829966,65635039612.42,77322798948.01,0.249336579408466,0.26999814810438
Portugal,2015,PRIM,21.9685930402482,12672304705.983,3474071341,5.89926186308032,24.0158990787543,24796794127.706,26913640552.165,4.52325131995106,5.19136224685137,5.0099043603626,4.27196062106033,100,1.109512891,100,4.60517018598809,4.60517018598809,4.2903320357724,5.19743501538459,12.1483591837973,9.50963180427177,12.1543008977547,9.2216666666479,3.34969704829966,65635039612.42,77322798948.01,0.193072248920911,0.320691884736076
Portugal,2015,RES,23.7818067976969,17905319693.562,21296462109,4.43172708351666,23.1357115305868,11681879510.527,11161224728.627,4.65076337379921,5.19136224685137,5.0099043603626,4.27196062106033,100,1.109512891,100,4.60517018598809,4.60517018598809,4.2903320357724,5.19743501538459,12.1483591837973,9.50963180427177,12.1543008977547,9.2216666666479,3.34969704829966,65635039612.42,77322798948.01,0.272801232379752,0.151079366880933
Portugal,2016,HIGH,18.8727965164332,4690738055,157163389,8.00122944438228,19.2261075604424,8974846728.845,223765136.153,8.29675431915459,5.21135544288103,5.03150336667587,4.32086772952852,96.8046826,1.106903113,98.3790287,4.61978036070686,4.61371362862809,4.33368555714995,5.21723292031579,12.1563529327643,9.52884192740566,12.162379097321,9.23989408682615,3.37469425608182,65652100016.528,77643273402.694,0.0714484084106845,0.115590782504716
Portugal,2016,LOW,22.3773157610238,15284443487.657,5228110460,5.67795580753976,21.9119976426448,12401958696.894,3282915191.944,5.93429279985331,5.21135544288103,5.03150336667587,4.32086772952852,96.8046826,1.106903113,98.3790287,4.61978036070686,4.61371362862809,4.33368555714995,5.21723292031579,12.1563529327643,9.52884192740566,12.162379097321,9.23989408682615,3.37469425608182,65652100016.528,77643273402.694,0.232809666161617,0.159729982436105
Portugal,2016,MED,22.1259120729668,16285952461.228,4065945194,5.9928268740122,21.9872034854876,22072489635.862,3539330725.015,6.43556455769056,5.21135544288103,5.03150336667587,4.32086772952852,96.8046826,1.106903113,98.3790287,4.61978036070686,4.61371362862809,4.33368555714995,5.21723292031579,12.1563529327643,9.52884192740566,12.162379097321,9.23989408682615,3.37469425608182,65652100016.528,77643273402.694,0.248064455777165,0.284280771128541
